,GSM4715941,GSM4715945,GSM4715946,GSM4715949,GSM4715974,GSM4715979,GSM4715982,GSM4715984,GSM4715991,GSM4715992
XPR1,-14.90487870279917,-14.1907839767128,-14.407007772229289,-14.404920019319535,-14.136844587950671,-14.088690533995528,-14.037442036340199,-13.95760179906404,-14.11324050157004,-14.085447915174505
RGS16,-22.084787792814105,-20.470891895905535,-19.347174522712105,-19.797237442098293,-21.226427481075383,-20.26323216350821,-21.941926134241623,-20.896593237839582,-22.21827597226833,-18.207077359576036
TOR1AIP1,-11.843400428815167,-12.515034451148738,-12.325916902151587,-12.68275142708141,-12.38533493638195,-12.731850702991897,-12.770499107634079,-12.735713376000277,-11.918304825039726,-12.0916001421561
FAM163A,-21.499825292092947,0.0,-21.084140116878313,0.0,0.0,-23.9636718816493,0.0,0.0,0.0,-19.261525143598416
HMCN1,-20.2774328707565,-19.470891895905535,-18.499177616157155,-20.6045923641559,-19.460892734712406,-20.378709380928147,-19.941926134241623,-20.896593237839582,-19.995883550931882,-16.98468493823959
RGL1,-17.084787792814105,-16.605821475991643,-18.20967099896217,-18.282664269268537,-16.48226638550497,-18.91927776229085,-17.634497609049376,-18.896593237839582,-17.311385376659814,-16.874502020489167
LYPLAL1,-15.675396856676402,-16.536779831561994,-16.365321869422367,-14.960736174381173,-15.445067767550722,-15.412925096266058,-15.208571793627796,-15.171397420612918,-15.244817759720823,-15.073221612841246
LHX9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.803238472989488,-17.502533243102206
PRUNE1,-13.794768945881485,-14.496887104438478,-14.539819600654502,-15.375773673660019,-14.166812624778158,-14.388132634814772,-14.810583595118361,-14.30264195389117,-14.56244714082753,-14.723560122414426
RORC,-18.499825292092947,-18.885929395184377,-19.347174522712105,-16.98988252004069,-20.37843057452043,-19.876209040398965,-19.804422610491688,-20.759089714089647,-19.102798754848394,-18.438402905682494
TUFT1,-16.875334427185155,-17.52335931579967,-17.459649251970518,-18.282664269268537,-17.20850557307812,-17.13078186748456,-18.24148641610053,-18.826203909948184,-16.945257477861915,-16.658184113562402
SF3B4,-17.04039367345565,-16.020858975270485,-15.750239380324874,-16.145160745518602,-17.07262214499635,-17.13078186748456,-17.418364178184607,-17.276006827387704,-17.24864962131185,-17.79203986029719
