,Gene,Mean Diff,Initial p-val,Adjusted p-values,Reject?
METTL12,METTL12,-0.03818583732801173,0.8808055900164391,0.954092397650717,False
TIGD5,TIGD5,-0.23045931572792355,0.3782388926523531,0.6572852832080198,False
CCDC107,CCDC107,-0.0737655578179961,0.6418906074415351,0.8336871077960178,False
C3orf52,C3orf52,0.40863903607916185,0.04462318716154193,0.2744613733212541,False
CCNB2,CCNB2,1.257575657697899,0.0011280206733766899,0.051913688270796524,False
EPHA1,EPHA1,0.18285810856538376,0.2918044562458094,0.5903034816632501,False
SLC35A2,SLC35A2,0.06541572633486226,0.6335337633610474,0.8295070849697368,False
USP54,USP54,-0.004746605072377008,0.9740696164303863,0.9908785734565239,False
NAA40,NAA40,0.27508752112096957,0.15629197724442487,0.45128555784968355,False
SERTAD3,SERTAD3,-0.21672046236445297,0.31816174060601576,0.6122868270813674,False
MAST2,MAST2,0.11226043451202372,0.5241223470165695,0.7605068011030709,False
AGER,AGER,-0.3718889952990345,0.27448219632925364,0.5764895288396433,False
HOPX,HOPX,0.08583535673463416,0.8445655930000149,0.9370836960543906,False
ZFAND2A,ZFAND2A,-0.08022878456691629,0.29930115531530554,0.5967758591895503,False
ZNF408,ZNF408,-0.11816922170194744,0.45699872375606976,0.7163852062520074,False
LIPN,LIPN,0.12090195028811124,0.6901130836723024,0.8597122862369072,False
SLC2A11,SLC2A11,0.043860940981861773,0.8124673968047078,0.9217049615097703,False
ARHGAP10,ARHGAP10,-0.1664798278856061,0.4371022151607271,0.7029139530546376,False
CKS1B,CKS1B,0.4176872011650481,0.0029744899813488597,0.08551047499806462,False
REC8,REC8,0.17655297973570683,0.4339373144914337,0.7008450571320044,False
LCMT1,LCMT1,0.05286377771923867,0.7090958215675335,0.8705479714250924,False
MACC1,MACC1,0.43198884404882776,0.1842184234174019,0.4831301966805294,False
SSSCA1,SSSCA1,-0.023778437717755452,0.8941650365071686,0.9601946880740297,False
ANKS3,ANKS3,0.12702380966785398,0.4048995413168893,0.6795602826356557,False
TP53I3,TP53I3,0.020068091732355242,0.8921709176216548,0.959597191516717,False
ZFP64,ZFP64,0.23072398119323623,0.15817912490154795,0.4534900430579078,False
SMPD3,SMPD3,-0.137886419862582,0.4961664727534686,0.7422690046481532,False
TXN2,TXN2,0.08362107600696689,0.6403525662032784,0.8332567037556825,False
SLC25A19,SLC25A19,-0.06278839543367809,0.5301470616529877,0.7641854351985135,False
FANCC,FANCC,0.39551768049404856,0.038021745892751306,0.25801314408405424,False
POLR2J2,POLR2J2,-0.19737406850697425,0.5412922927417786,0.7710806445478527,False
LANCL3,LANCL3,0.3019048762697061,0.31959824952129057,0.6130483069705722,False
LPAR1,LPAR1,-0.08211938787682271,0.7155291172676698,0.8740642862813032,False
JAKMIP2,JAKMIP2,0.3219877198594432,0.25399909256608966,0.5579619667690358,False
ARSA,ARSA,-0.387724623466827,0.17353527799587032,0.47146097700361933,False
MZT1,MZT1,0.252175984814464,0.22532367022390243,0.5279859918846378,False
FHL2,FHL2,0.04295733514060274,0.7690863086781756,0.9018160546050383,False
ADAMTS6,ADAMTS6,0.5104081790506427,0.03410344400140325,0.2498934622253661,False
COL4A4,COL4A4,0.04300421779821306,0.8386864676813579,0.9338870111307233,False
SLC35E2,SLC35E2,-0.3341724427410355,0.20075724986363708,0.5018814294994011,False
TCN1,TCN1,-0.24965025278354958,0.44721802887590145,0.7108051863443275,False
WDR4,WDR4,0.15486732262272795,0.2915313891611079,0.5901593929740027,False
DTWD2,DTWD2,0.20465573405290627,0.1477740946751721,0.4402593910921581,False
MAP2K5,MAP2K5,0.1966250888092489,0.19686237908317117,0.49799347727090526,False
PTTG1,PTTG1,0.871809200886208,0.021820918012917044,0.20443472563351656,False
CRADD,CRADD,-0.0996352527088149,0.30889986638896594,0.6049433180327397,False
COX16,COX16,0.060020604954232226,0.7637647745213282,0.8992821060053753,False
LPAR5,LPAR5,0.26356307637624,0.1160910652321109,0.3996533948426967,False
ERP27,ERP27,0.19260667253955077,0.3491308433810346,0.6366625956697649,False
ALOX12,ALOX12,-0.3698321735047152,0.044009500998338925,0.27265158138197193,False
KCTD3,KCTD3,0.26948586792237705,0.12016501226456651,0.4076597069809559,False
CENPO,CENPO,0.3918886264214123,0.04835001147171277,0.28234013311447,False
LPCAT4,LPCAT4,-0.049696410834172866,0.7905980995357825,0.9114201118906796,False
WASH1,WASH1,0.08103993501072893,0.7997320243553454,0.9165124652206902,False
SVBP,SVBP,-0.03147527766646263,0.804698980968223,0.9187056203077772,False
SLC10A3,SLC10A3,-0.13704014726517855,0.39887914935815805,0.6751768502536969,False
GPX3,GPX3,-0.39860324576444484,0.15589486701115413,0.45088336260971346,False
PLK3,PLK3,-0.2941628121188913,0.13132060043266142,0.41944640401452493,False
FUT10,FUT10,0.17913170602962225,0.3449516639909034,0.6327607567361492,False
LIX1,LIX1,0.2994091695098611,0.45946372634119936,0.7183956013259134,False
TMEM126A,TMEM126A,0.018596449068859044,0.8824819763891888,0.9549224892494337,False
SLC43A1,SLC43A1,-0.03586649731109404,0.8763202996080874,0.9512849214527678,False
KIF18A,KIF18A,0.6322458829277906,0.005158746408972889,0.10740223426458835,False
MCRIP2,MCRIP2,-0.13732372255779524,0.4885619102721438,0.7377263114063388,False
KRBA2,KRBA2,0.06526590046742697,0.7306451202165292,0.8798472298530021,False
MIEF2,MIEF2,-0.23712720014598432,0.19356428116618396,0.4941424512732557,False
ANAPC10,ANAPC10,0.28804254362089665,0.023534353894254022,0.20900022805443128,False
MTHFD1L,MTHFD1L,0.8229616940693312,5.142998929923885e-08,0.0002698274388584566,True
MRPS28,MRPS28,0.33164975740256253,0.022500385715358655,0.20700251180247733,False
FBF1,FBF1,0.03972147719235153,0.8296568210878127,0.9289925326725449,False
MBD6,MBD6,-0.22537456504812425,0.52145771443885,0.7595884341411664,False
KCTD21,KCTD21,-0.05733314211611429,0.7262813765074096,0.8784085318949534,False
ALKBH7,ALKBH7,-0.2874976757260441,0.32027621198663836,0.6137447860750275,False
TBC1D25,TBC1D25,0.08652121773994637,0.7068580727330047,0.8686101132670593,False
ST6GALNAC4,ST6GALNAC4,-0.17008020052889705,0.6511647162659936,0.8374398048509708,False
TAF6L,TAF6L,0.17402358083317893,0.1824567607176909,0.48166148152000454,False
GOLGA7B,GOLGA7B,0.2832323687335645,0.2783940870530295,0.5798174413242332,False
KIAA1324,KIAA1324,-0.11188394062377682,0.8090970651467065,0.9210084079609885,False
TATDN1,TATDN1,0.07909704143384033,0.6734464425143989,0.8494439430106158,False
EID2,EID2,0.4766430695169497,0.06623264240445728,0.31849214632004896,False
